"","Team","Accuracy","Sensitivity","Specificity","Group","team_id","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logos","venue_id","venue_name","city","state","zip","country_code","timezone","latitude","longitude","elevation","capacity","year_constructed","grass","dome"
"38","Louisville","0.67","0.72","0.61","2",97,"Cardinals","LOU",NA,"LOU","Louisville","ACC","Atlantic","#ad000a","#cccccc","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png",3873,"Papa John's Cardinal Stadium","Louisville","KY","40292","US","America/Kentucky/Louisville",38.2057621,-85.7588141,"138.5615997",60000,1998,FALSE,FALSE
"39","Marshall","0.68","0.76","0.56","2",276,"Thundering Herd","MRSH",NA,"MRSH","Marshall","Conference USA","East","#186329","#be854c","http://a.espncdn.com/i/teamlogos/ncaa/500/276.png",3775,"Joan C. Edwards Stadium","Huntington","WV","25755","US","America/New_York",38.4247042,-82.4214412,"163.7328186",38016,1991,FALSE,FALSE
"40","Maryland","0.71","0.69","0.72","2",120,"Terrapins","MD",NA,"MD","Maryland","Big Ten","East","#D5002B","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/120.png",3665,"Maryland Stadium","College Park","MD","20742","US","America/New_York",38.9903332,-76.9473792,"32.68748093",51802,1950,FALSE,FALSE
"41","Memphis","0.65","0.63","0.67","2",235,"Tigers","MEM",NA,"MEM","Memphis","American Athletic","West","#003087","#898d8d","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png",3805,"Liberty Bowl Memorial Stadium","Memphis","TN","38152","US","America/Chicago",35.1209429,-89.977147,"90.62445831",58325,1965,FALSE,FALSE
"42","Miami","0.63","0.67","0.59","2",2390,"Hurricanes","MIAMI","Miami (FL)","MIAMI","Miami","ACC","Coastal","#004325","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png",3948,"Hard Rock Stadium","Miami Gardens","FL","33299","US","America/New_York",25.9579665,-80.2388604,"2.624486446",64767,1987,TRUE,FALSE
"43","Minnesota","0.68","0.74","0.6","2",135,"Golden Gophers","MINN",NA,"MINN","Minnesota","Big Ten","West","#981a31","#981a31","http://a.espncdn.com/i/teamlogos/ncaa/500/135.png",3953,"TCF Bank Stadium","Minneapolis","MN","55488","US","America/Chicago",44.976525,-93.2245462,"254.3902283",50850,2009,FALSE,FALSE
"44","Missouri","0.66","0.58","0.73","2",142,"Tigers","MIZ",NA,"MIZ","Missouri","SEC","East","#000000","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png",3838,"Faurot Field","Columbia","MO","65211","US","America/Chicago",38.9358491,-92.3332009,"212.6865692",71168,1927,FALSE,FALSE
"45","Navy","0.7","0.85","0.27","2",2426,"Midshipmen","NAVY",NA,"NAVY","Navy","American Athletic","West","#131630","#b6a77c","http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png",3852,"Navy-Marine Corps Memorial Stadium","Annapolis","MD","21402","US","America/New_York",38.9846985,-76.5076335,"10.74990082",34000,1959,TRUE,FALSE
"46","Oregon State","0.69","0.71","0.68","2",204,"Beavers","ORST",NA,"ORST","Oregon State","Pac-12","North","#c34500","#dea076","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png",3893,"Reser Stadium","Corvallis","OR","97331","US","America/Los_Angeles",44.5594559,-123.2814341,"66.90744781",43363,1953,FALSE,FALSE
"47","Rice","0.71","0.72","0.69","2",242,"Owls","RICE",NA,"RICE","Rice","Conference USA","West","#003D7D","#d1d5d8","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png",3895,"Rice Stadium","Houston","TX","77251","US","America/Chicago",29.7163297,-95.4093261,"7.148301601",47000,1950,FALSE,FALSE
"48","Rutgers","0.64","0.54","0.74","2",164,"Scarlet Knights","RUTG",NA,"RUTG","Rutgers","Big Ten","East","#d21034","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png",3754,"High Point Solutions Stadium","Piscataway","NJ","8854 ","US","America/New_York",40.5136754,-74.4655737,"8.543146133",52454,1994,FALSE,FALSE
"49","South Carolina","0.68","0.69","0.68","2",2579,"Gamecocks","SC",NA,"SC","South Carolina","SEC","East","#670010","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png",3994,"Williams-Brice Stadium","Columbia","SC","29208","US","America/New_York",33.9730239,-81.0191726,"60.54548645",80250,1934,TRUE,FALSE
"50","Tennessee","0.69","0.67","0.71","2",2633,"Volunteers","TENN",NA,"TENN","Tennessee","SEC","East","#EE9627","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png",3853,"Neyland Stadium","Knoxville","TN","37996","US","America/New_York",35.9550131,-83.9250128,"271.9517212",102455,1921,TRUE,FALSE
"51","Texas","0.67","0.75","0.59","2",251,"Longhorns","TEX",NA,"TEX","Texas","Big 12",NA,"#EE7524","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png",3910,"Darrell K Royal-Texas Memorial Stadium","Austin","TX","78712","US","America/Chicago",30.2836813,-97.7325345,"160.3089447",100119,1924,FALSE,FALSE
"52","Texas State","0.63","0.45","0.77","2",326,"Bobcats","TXST",NA,"TXST","Texas State","Sun Belt",NA,"#4e1719","#b4975a","http://a.espncdn.com/i/teamlogos/ncaa/500/326.png",3644,"Jim Wacker Field at Bobcat Stadium","San Marcos","TX","78666","US","America/Chicago",29.8910008,-97.9255735,"177.8676453",30000,1981,FALSE,FALSE
"53","Texas Tech","0.64","0.5","0.74","2",2641,"Red Raiders","TTU",NA,"TTU","Texas Tech","Big 12",NA,"#C80025","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png",3784,"Jones AT&T Stadium","Lubbock","TX","79409","US","America/Chicago",33.5910518,-101.8728824,"980.7632446",60454,1947,FALSE,FALSE
"54","UCLA","0.69","0.76","0.57","2",26,"Bruins","UCLA",NA,"UCLA","UCLA","Pac-12","South","#005C8E","#ffc72c","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png",1056,"Rose Bowl","Pasadena","CA","90095","US","America/Los_Angeles",34.1613284,-118.1676462,"245.1772461",88565,1922,FALSE,FALSE
"55","Virginia Tech","0.65","0.75","0.48","2",259,"Hokies","VT",NA,"VT","VT","ACC","Coastal","#74232D","#c2c1ba","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png",3799,"Lane Stadium","Blacksburg","VA","24061","US","America/New_York",37.2199873,-80.4180643,"632.2631226",65632,1965,FALSE,FALSE
"56","Wake Forest","0.7","0.82","0.59","2",154,"Demon Deacons","WAKE",NA,"WAKE","Wake Forest","ACC","Atlantic","#9E7E38","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png",3630,"BB&T Field","Winston-Salem","NC","27105","US","America/New_York",36.1305507,-80.2545851,"283.548584",31500,1968,FALSE,FALSE
